MATCHUP_ID;Site;PI;Lat_IS;Lon_IS;TIME_IS;PQC;MQC;land_dist_IS;Theta_S;Rho_wn_IS_413;Rho_wn_IS_440;Rho_wn_IS_501;Rho_wn_IS_555;Rho_wn_IS_674;Rho_wn_IS_870;LwN_IS_413;LwN_IS_440;LwN_IS_501;LwN_IS_555;LwN_IS_674;LwN_IS_870;ExactWavelength_IS_413;ExactWavelength_IS_440;ExactWavelength_IS_501;ExactWavelength_IS_555;ExactWavelength_IS_674;ExactWavelength_IS_870;AERONET_chla_IS;Surf_press_IS;Wind_speed_IS;O3_IS
AAB_30_b_oc;AbuAlBukhoosh;GiuseppeZibordi;    25.495;    53.146;20061223T083418Z;P10000000;M110100001110030101;    41.000;    48.972;       0.006893;       0.007470;       0.009887;       0.007360;       0.001608;            NaN;       0.375244;       0.442933;       0.621100;       0.430615;       0.076321;      -0.013724;     412.500000;     441.700012;     491.399994;     555.400024;     675.000000;     870.099976;       0.947508;    1013.847046;       2.126521;     257.742889
AAB_31_b_oc;AbuAlBukhoosh;GiuseppeZibordi;    25.495;    53.146;20061223T094009Z;P10000000;M110100001110030101;    41.000;    52.113;       0.006886;       0.007365;       0.008957;       0.008037;       0.001644;            NaN;       0.374875;       0.436693;       0.562691;       0.470221;       0.078039;      -0.001117;     412.500000;     441.700012;     491.399994;     555.400024;     675.000000;     870.099976;       1.448855;    1013.255127;       2.136823;     257.747986
AAB_32_b_oc;AbuAlBukhoosh;GiuseppeZibordi;    25.495;    53.146;20070111T111012Z;P10000000;M110100001110030101;    41.000;    60.599;       0.006743;       0.008459;       0.011617;       0.008992;       0.001875;            NaN;       0.367046;       0.501544;       0.729789;       0.526127;       0.089016;      -0.023190;     412.500000;     441.700012;     491.399994;     555.400024;     675.000000;     870.099976;       1.036798;    1016.444153;       1.171865;     259.884308
AAB_33_b_oc;AbuAlBukhoosh;GiuseppeZibordi;    25.495;    53.146;20070111T114913Z;P10000000;M110100001110030101;    41.000;    66.875;       0.006667;       0.006932;       0.009858;       0.008551;       0.002104;       0.000699;       0.362919;       0.411029;       0.619291;       0.500330;       0.099893;       0.020969;     412.500000;     441.700012;     491.399994;     555.400024;     675.000000;     870.099976;       1.349050;    1016.018494;       0.954502;     259.887360
AAB_34_b_oc;AbuAlBukhoosh;GiuseppeZibordi;    25.495;    53.146;20070120T065126Z;P10000000;M110100001110030101;    41.000;    52.758;       0.006471;       0.007778;       0.010735;       0.006307;       0.001151;            NaN;       0.352270;       0.461204;       0.674378;       0.368991;       0.054616;      -0.029256;     412.500000;     441.700012;     491.399994;     555.400024;     675.000000;     870.099976;       0.562269;    1019.084595;       3.749239;     261.207977
AAB_35_b_oc;AbuAlBukhoosh;GiuseppeZibordi;    25.495;    53.146;20070120T091223Z;P10000000;M110100001110030101;    41.000;    46.642;       0.007506;       0.007677;       0.010668;       0.006889;       0.001464;       0.000297;       0.408588;       0.455197;       0.670159;       0.403090;       0.069500;       0.008910;     412.500000;     441.700012;     491.399994;     555.400024;     675.000000;     870.099976;       0.691953;    1017.796814;       3.481121;     261.225159
AAB_36_b_oc;AbuAlBukhoosh;GiuseppeZibordi;    25.495;    53.146;20070120T105123Z;P10000000;M110100001110030101;    41.000;    56.115;       0.006186;       0.007221;       0.009811;       0.006789;       0.001675;       0.000567;       0.336732;       0.428164;       0.616368;       0.397198;       0.079485;       0.017005;     412.500000;     441.700012;     491.399994;     555.400024;     675.000000;     870.099976;       0.805297;    1016.892334;       3.292802;     261.237213
AAB_37_b_oc;AbuAlBukhoosh;GiuseppeZibordi;    25.495;    53.146;20070124T061332Z;P10000000;M110100001110030101;    41.000;    57.353;       0.008106;       0.009647;       0.013048;       0.010753;       0.000550;       0.000251;       0.441279;       0.572019;       0.819701;       0.629151;       0.026095;       0.007522;     412.500000;     441.700012;     491.399994;     555.400024;     675.000000;     870.099976;       1.195561;    1022.286011;       6.538684;     261.905304
AAB_38_b_oc;AbuAlBukhoosh;GiuseppeZibordi;    25.495;    53.146;20070124T091331Z;P10000000;M110100001110030101;    41.000;    45.769;       0.007954;       0.009895;       0.012740;       0.009592;       0.001751;       0.000188;       0.432994;       0.586710;       0.800367;       0.561222;       0.083132;       0.005636;     412.500000;     441.700012;     491.399994;     555.400024;     675.000000;     870.099976;       0.970795;    1021.204346;       5.592346;     261.927216
AAB_39_b_oc;AbuAlBukhoosh;GiuseppeZibordi;    25.495;    53.146;20070126T105300Z;P10000000;M110100001110030101;    41.000;    55.078;       0.006406;       0.008003;       0.011244;       0.009527;       0.002108;       0.000391;       0.348697;       0.474537;       0.706383;       0.557419;       0.100052;       0.011724;     412.500000;     441.700012;     491.399994;     555.400024;     675.000000;     870.099976;       1.276701;    1017.616882;       2.300002;     262.290314
