MATCHUP_ID;Site;PI;Lat_IS;Lon_IS;TIME_IS;PQC;MQC;land_dist_IS;Theta_S;Rho_wn_IS_412.5;Rho_wn_IS_442.5;Rho_wn_IS_490;Rho_wn_IS_560;Rho_wn_IS_665;LwN_IS_412.5;LwN_IS_442.5;LwN_IS_490;LwN_IS_560;LwN_IS_665;Es_IS_412.5;Es_IS_442.5;Es_IS_490;Es_IS_560;Es_IS_665;AERONET_chla_IS;Surf_press_IS;Wind_speed_IS;O3_IS
AAOT_6267_b_oc;AAOT;GiuseppeZibordi;    45.314;    12.508;20100831T092428Z;P10000100;M110100001110030101;    12.000;    43.107;       0.008964;       0.010256;       0.012680;       0.009733;       0.001734;       0.487969;       0.614347;       0.775863;       0.556550;       0.084537;     926.047869;    1078.785632;    1173.527431;    1119.859246;    1015.008045;       0.568829;    1012.432312;       5.285144;     308.400085
AAOT_6268_b_oc;AAOT;GiuseppeZibordi;    45.314;    12.508;20100831T122435Z;P10000100;M110100001110030101;    12.000;    39.840;       0.009875;       0.010789;       0.013225;       0.011239;       0.001838;       0.537581;       0.646272;       0.809223;       0.642710;       0.089637;     988.072268;    1147.592184;    1244.825888;    1186.727371;    1072.194096;       0.765825;    1012.687683;       5.272893;     308.353149
AAOT_6269_b_oc;AAOT;GiuseppeZibordi;    45.314;    12.508;20100831T124507Z;P10000100;M110100001110030101;    12.000;    41.845;       0.010312;       0.010967;       0.013274;       0.010940;       0.001893;       0.561357;       0.656961;       0.812241;       0.625606;       0.092297;     950.429622;    1105.851396;    1201.591801;    1146.194944;    1037.537549;       0.702679;    1012.716064;       5.345035;     308.347809
AAOT_6270_b_oc;AAOT;GiuseppeZibordi;    45.314;    12.508;20100831T132438Z;P10000100;M110100001110030101;    12.000;    46.492;       0.010270;       0.010990;       0.013542;       0.011342;       0.001853;       0.559076;       0.658327;       0.828635;       0.648594;       0.090350;     857.823061;    1003.035439;    1094.993571;    1046.227967;     952.001829;       0.734748;    1012.770569;       5.483874;     308.337494
AAOT_6271_b_oc;AAOT;GiuseppeZibordi;    45.314;    12.508;20100901T092408Z;P10000100;M110100001110030101;    12.000;    43.224;       0.007713;       0.008618;       0.010410;       0.007375;       0.000951;       0.419868;       0.516252;       0.636983;       0.421757;       0.046359;     923.220417;    1075.779574;    1170.575359;    1117.271008;    1012.845583;       0.444229;    1015.210266;       1.971560;     308.024933
AAOT_6272_b_oc;AAOT;GiuseppeZibordi;    45.314;    12.508;20100901T122417Z;P10000100;M110100001110030101;    12.000;    39.989;       0.008541;       0.008819;       0.010458;       0.007712;       0.001109;       0.464916;       0.528298;       0.639895;       0.440985;       0.054097;     984.894383;    1144.172905;    1241.414834;    1183.680176;    1069.623177;       0.505236;    1014.818909;       1.400004;     307.977997
AAOT_6273_b_oc;AAOT;GiuseppeZibordi;    45.314;    12.508;20100901T124447Z;P10000100;M110100001110030101;    12.000;    41.888;       0.008590;       0.008759;       0.010516;       0.007706;       0.000950;       0.467625;       0.524715;       0.643454;       0.440685;       0.046303;     949.202871;    1104.588945;    1200.408107;    1145.231015;    1036.744963;       0.495205;    1014.764771;       1.481186;     307.972656
AAOT_6274_b_oc;AAOT;GiuseppeZibordi;    45.314;    12.508;20100901T132421Z;P10000100;M110100001110030101;    12.000;    46.634;       0.008088;       0.008318;       0.010585;       0.007778;       0.001015;       0.440295;       0.498292;       0.647655;       0.444796;       0.049483;     854.525031;     999.457931;    1091.394107;    1042.987894;     949.254779;       0.497018;    1014.660278;       1.637873;     307.962341
AAOT_6275_b_oc;AAOT;GiuseppeZibordi;    45.314;    12.508;20100901T134443Z;P10000100;M110100001110030101;    12.000;    49.382;       0.007484;       0.008008;       0.010222;       0.007699;       0.000928;       0.407393;       0.479710;       0.625467;       0.440262;       0.045233;     796.417086;     934.826050;    1024.286548;     980.023842;     895.323258;       0.536419;    1014.606506;       1.718527;     307.957031
AAOT_6276_b_oc;AAOT;GiuseppeZibordi;    45.314;    12.508;20100901T141803Z;P10000100;M110100001110030101;    12.000;    54.475;       0.007461;       0.007729;       0.010154;       0.007722;       0.000782;       0.406167;       0.462964;       0.621312;       0.441552;       0.038141;     683.166450;     808.562317;     892.939866;     856.717959;     789.558931;       0.551476;    1014.518494;       1.850529;     307.948364
AAOT_6277_b_oc;AAOT;GiuseppeZibordi;    45.314;    12.508;20100904T084347Z;P10000100;M110100001110030101;    12.000;    49.206;       0.010125;       0.010944;       0.016011;       0.015557;       0.003120;       0.551175;       0.655549;       0.979663;       0.889613;       0.152156;     800.131707;     938.979034;    1028.646852;     984.263719;     898.897187;       1.084831;    1014.934998;       2.695633;     306.909729
AAOT_6278_b_oc;AAOT;GiuseppeZibordi;    45.314;    12.508;20100904T092313Z;P10000100;M110100001110030101;    12.000;    44.199;       0.010259;       0.011533;       0.015813;       0.016034;       0.003010;       0.558468;       0.690836;       0.967562;       0.916910;       0.146758;     904.000093;    1054.431536;    1148.456311;    1096.656448;     995.124880;       1.215802;    1014.862244;       2.568203;     306.899475
AAOT_6279_b_oc;AAOT;GiuseppeZibordi;    45.314;    12.508;20100904T111707Z;P10000100;M110100001110030101;    12.000;    37.810;       0.010795;       0.011844;       0.015986;       0.015601;       0.003090;       0.587637;       0.709489;       0.978142;       0.892124;       0.150658;    1024.260221;    1187.797924;    1286.604299;    1226.179902;    1105.870655;       1.102838;    1014.652222;       2.200132;     306.869781
AAOT_6280_b_oc;AAOT;GiuseppeZibordi;    45.314;    12.508;20100904T122322Z;P10000100;M110100001110030101;    12.000;    41.011;       0.010775;       0.011678;       0.015822;       0.015089;       0.002851;       0.586540;       0.699574;       0.968150;       0.862881;       0.138997;     965.906781;    1123.108515;    1219.611705;    1163.370011;    1052.174708;       1.038416;    1014.509399;       2.037894;     306.852509
AAOT_6281_b_oc;AAOT;GiuseppeZibordi;    45.314;    12.508;20100904T124350Z;P10000100;M110100001110030101;    12.000;    42.876;       0.010828;       0.011900;       0.015409;       0.014978;       0.002873;       0.589462;       0.712853;       0.942843;       0.856519;       0.140112;     930.167365;    1083.458329;    1178.525251;    1124.842560;    1019.223470;       1.094666;    1014.453613;       2.017172;     306.847198
AAOT_6282_b_oc;AAOT;GiuseppeZibordi;    45.314;    12.508;20100904T132321Z;P10000100;M110100001110030101;    12.000;    47.554;       0.011061;       0.011852;       0.016029;       0.015015;       0.002764;       0.602124;       0.709978;       0.980787;       0.858644;       0.134754;     835.367712;     978.150558;    1069.293623;    1022.384138;     931.530276;       0.990856;    1014.345825;       1.977162;     306.836884
AAOT_6283_b_oc;AAOT;GiuseppeZibordi;    45.314;    12.508;20100904T134347Z;P10000100;M110100001110030101;    12.000;    50.271;       0.011302;       0.012013;       0.016070;       0.015479;       0.002783;       0.615237;       0.719635;       0.983300;       0.885178;       0.135712;     777.195614;     913.416504;    1002.054472;     959.288090;     877.471562;       1.067053;    1014.290100;       1.956473;     306.831573
AAOT_6284_b_oc;AAOT;GiuseppeZibordi;    45.314;    12.508;20100904T142319Z;P10000100;M110100001110030101;    12.000;    56.255;       0.010627;       0.011379;       0.015305;       0.014533;       0.002683;       0.578493;       0.681611;       0.936475;       0.831075;       0.130840;     642.176433;     762.735053;     845.183761;     811.982589;     751.050430;       1.027400;    1014.182251;       1.916446;     306.821259
AAOT_6285_b_oc;AAOT;GiuseppeZibordi;    45.314;    12.508;20100910T132122Z;P10000100;M110100001110030101;    12.000;    49.471;       0.014074;       0.016206;       0.023636;       0.023141;       0.004238;       0.766129;       0.970763;       1.446243;       1.323285;       0.206665;     793.994182;     932.261631;    1021.857438;     978.296332;     893.697233;       1.106560;    1017.293762;       6.801583;     304.585968
AAOT_6286_b_oc;AAOT;GiuseppeZibordi;    45.314;    12.508;20100910T134147Z;P10000100;M110100001110030101;    12.000;    52.125;       0.013054;       0.014857;       0.021384;       0.021876;       0.003828;       0.710587;       0.890002;       1.308418;       1.250984;       0.186669;     735.755014;     867.376281;     954.396543;     914.970379;     839.406903;       1.240049;    1017.222473;       6.952331;     304.580658
