MATCHUP_ID;Site;PI;Lat_IS;Lon_IS;TIME_IS;PQC;MQC;land_dist_IS;Theta_S;Rho_wn_IS_412.5;Rho_wn_IS_442.5;Rho_wn_IS_490;Rho_wn_IS_510;Rho_wn_IS_560;Rho_wn_IS_620;Rho_wn_IS_665;Rho_wn_IS_681.25;Rho_wn_IS_708.75;Rho_wn_IS_753.75;Rho_wn_IS_778.75;Rho_wn_IS_865;Rho_wn_IS_885;Lw_IS_412.5;Lw_IS_442.5;Lw_IS_490;Lw_IS_510;Lw_IS_560;Lw_IS_620;Lw_IS_665;Lw_IS_681.25;Lw_IS_708.75;Lw_IS_753.75;Lw_IS_778.75;Lw_IS_865;Lw_IS_885;Es_IS_412.5;Es_IS_442.5;Es_IS_490;Es_IS_510;Es_IS_560;Es_IS_620;Es_IS_665;Es_IS_681.25;Es_IS_708.75;Es_IS_753.75;Es_IS_778.75;Es_IS_865;Es_IS_885;HPLC_chla_ONLY_IS
MUMMTriOS-Belgica08-10_579_b_oc;MUMMTriOS-Belgica08-10;KevinRuddick;    51.422;     3.260;20080424T162000Z;P10100100;M122200001200020100;     6.000;    66.713;       0.014819;       0.013920;       0.014828;       0.016479;       0.024958;       0.022863;       0.017350;       0.020337;       0.022922;       0.010838;       0.009763;       0.007613;       0.007175;       0.992913;       1.124042;       1.419964;       1.570471;       2.371978;       1.782298;       1.291511;       1.451396;       1.479799;       0.619941;       0.553283;       0.349441;       0.315019;     171.163010;     195.025284;     208.653015;     201.508530;     189.236526;     169.920547;     166.900604;     161.653458;     150.119324;     133.051056;     131.792953;     106.716431;     102.049240;      44.290001
MUMMTriOS-Belgica08-10_580_b_oc;MUMMTriOS-Belgica08-10;KevinRuddick;    51.417;     2.807;20080423T120400Z;P10100100;M122200001200020100;    19.000;    39.038;       0.010266;       0.008987;       0.008620;       0.009267;       0.013870;       0.010789;       0.008766;       0.011003;       0.009817;       0.005689;       0.005057;       0.004357;       0.004232;       2.081042;       2.152907;       2.403124;       2.573195;       3.900529;       2.516808;       1.896012;       2.253262;       1.794942;       0.929073;       0.814954;       0.570391;       0.531572;     572.658447;     652.360535;     705.806030;     689.411865;     671.385376;     611.399353;     581.902710;     561.167175;     511.044128;     457.495270;     451.474731;     367.194397;     352.396637;      18.030001
MUMMTriOS-Belgica08-10_581_b_oc;MUMMTriOS-Belgica08-10;KevinRuddick;    51.585;     3.011;20070919T082000Z;P10100100;M122200001200020100;    26.000;    65.119;       0.007513;       0.006421;       0.006339;       0.007059;       0.011484;       0.007138;       0.005445;       0.007626;       0.005693;       0.002247;       0.001891;       0.001286;       0.001170;       1.728582;       1.753476;       1.957807;       2.154389;       3.454299;       1.981659;       1.466523;       1.980346;       1.379475;       0.480864;       0.401153;       0.223288;       0.195837;     617.359924;     725.130737;     809.448486;     797.765625;     782.292114;     726.501343;     707.476318;     684.143494;     639.598083;     566.935242;     562.804382;     462.336365;     446.083618;      16.030001
MUMMTriOS-Belgica08-10_582_b_oc;MUMMTriOS-Belgica08-10;KevinRuddick;    51.459;     2.352;20080423T151800Z;P10100100;M122200001200020100;    37.000;    57.149;       0.010519;       0.009517;       0.010210;       0.011816;       0.016542;       0.009051;       0.007813;       0.010345;       0.006585;       0.003929;       0.003354;       0.002733;       0.002656;       0.858191;       0.923500;       1.164963;       1.341707;       1.888273;       0.832833;       0.668098;       0.840015;       0.465815;       0.248382;       0.208895;       0.136503;       0.126291;     212.859818;     240.223434;     256.277863;     248.280853;     236.633331;     210.890121;     201.955597;     194.562241;     174.082077;     155.785294;     153.360336;     123.017754;     117.136139;       4.780000
MUMMTriOS-Belgica08-13_601_b_oc;MUMMTriOS-Belgica08-13;KevinRuddick;    42.601;   -11.941;20080613T140200Z;P10100100;M122200001200020100;   999.000;    24.766;       0.014545;       0.012849;       0.011917;       0.010292;       0.006750;       0.002061;       0.001560;       0.001609;       0.001075;       0.000729;       0.000680;       0.000567;       0.000549;       5.867795;       6.019880;       6.225100;       5.273632;       3.389070;       0.927849;       0.664469;       0.660973;       0.408342;       0.245973;       0.226180;       0.153777;       0.143923;    1229.074463;    1415.156372;    1548.710938;    1520.627930;    1490.088623;    1371.837891;    1300.604736;    1256.136597;    1162.881104;    1032.662842;    1018.275391;     829.270264;     801.228394;       0.730000
MUMMTriOS-Belgica08-13_602_b_oc;MUMMTriOS-Belgica08-13;KevinRuddick;    43.605;    -8.388;20080614T105400Z;P10100100;M122200001200020100;     5.000;    28.887;       0.013947;       0.012008;       0.010894;       0.010041;       0.008249;       0.004053;       0.003535;       0.003846;       0.002848;       0.002418;       0.002133;       0.001835;       0.001785;       2.917722;       2.866665;       2.883144;       2.594600;       2.068696;       0.852795;       0.692507;       0.722979;       0.488178;       0.369438;       0.321221;       0.223248;       0.209004;     641.484619;     715.201904;     754.238647;     731.366577;     700.231689;     629.611694;     591.542236;     568.705811;     522.388794;     465.441437;     458.561096;     370.601562;     356.672058;       1.320000
MUMMTriOS-Belgica08-13_603_b_oc;MUMMTriOS-Belgica08-13;KevinRuddick;    43.948;    -8.208;20080613T130800Z;P10100100;M122200001200020100;    26.000;    21.973;       0.015437;       0.014513;       0.013414;       0.010415;       0.005762;       0.001407;       0.000860;       0.000769;       0.000416;       0.000147;       0.000055;            NaN;            NaN;       5.938556;       6.453946;       6.563152;       4.980844;       2.693161;       0.604901;       0.352951;       0.306116;       0.155846;       0.051581;       0.021414;            NaN;            NaN;    1171.729370;    1351.404907;    1480.393799;    1454.193726;    1426.294922;    1313.079224;    1246.141357;    1203.069946;    1114.874390;     990.466736;     977.522766;     370.601562;     356.672058;       0.180000
MUMMTriOS-Belgica08-13_604_b_oc;MUMMTriOS-Belgica08-13;KevinRuddick;    47.721;    -6.206;20080615T101900Z;P10100100;M122200001200020100;   999.000;    34.996;       0.018011;       0.017436;       0.015944;       0.012810;       0.007906;       0.003442;       0.002872;       0.002865;       0.002447;       0.002198;       0.001965;       0.001752;       0.001725;       4.371612;       4.895795;       4.969340;       3.843616;       2.289986;       0.881302;       0.700936;       0.670336;       0.521229;       0.419134;       0.368918;       0.266147;       0.251428;     785.060608;     896.695190;     970.016907;     946.185852;     917.584534;     832.563782;     788.676025;     759.902832;     689.346375;     617.662354;     608.457581;     492.336060;     472.367798;       0.240000
MUMMTriOS-Belgica08-13_605_b_oc;MUMMTriOS-Belgica08-13;KevinRuddick;    48.125;    -5.948;20080615T135000Z;P10100100;M122200001200020100;   999.000;    30.101;       0.014086;       0.013816;       0.014216;       0.013501;       0.011107;       0.005301;       0.004598;       0.004755;       0.003808;       0.003325;       0.003048;       0.002826;       0.002783;       3.543931;       4.078473;       4.806376;       4.499503;       3.670184;       1.480361;       1.205727;       1.197866;       0.860674;       0.677113;       0.612919;       0.461893;       0.436333;     765.063599;     875.719055;     951.769836;     930.208069;     906.473022;     824.834167;     783.285522;     755.016541;     683.804993;     615.991272;     608.006775;     494.374908;     473.985657;       1.600000
MUMMTriOS-Belgica08-13_606_b_oc;MUMMTriOS-Belgica08-13;KevinRuddick;    50.152;    -0.908;20080616T111000Z;P10100100;M122200001200020100;    47.000;    28.825;       0.010458;       0.010439;       0.011707;       0.010775;       0.008384;       0.002484;       0.001753;       0.001818;       0.001117;       0.000581;       0.000524;       0.000379;       0.000362;       4.124793;       4.773406;       5.894075;       5.333256;       4.052507;       1.092522;       0.733448;       0.736578;       0.422267;       0.193350;       0.172128;       0.101043;       0.093347;    1141.037354;    1317.539917;    1444.275513;    1418.398071;    1385.314697;    1275.356323;    1216.447266;    1175.351685;    1098.778442;     967.650879;     954.486023;     776.326538;     751.223816;       1.290000
