MATCHUP_ID;Site;PI;Lat_IS;Lon_IS;TIME_IS;PQC;MQC;land_dist_IS;Theta_S;Rho_wn_IS_412.5;Rho_wn_IS_442.5;Rho_wn_IS_490;Rho_wn_IS_560;Rho_wn_IS_665;LwN_IS_412.5;LwN_IS_442.5;LwN_IS_490;LwN_IS_560;LwN_IS_665;Es_IS_412.5;Es_IS_442.5;Es_IS_490;Es_IS_560;Es_IS_665;AERONET_chla_IS;Surf_press_IS;Wind_speed_IS;O3_IS
GDT_295_b_oc;GustavDalenTower;GiuseppeZibordi;    58.594;    17.467;20060807T122958Z;P10000000;M110100001110030101;     8.000;    45.437;       0.002278;       0.003338;       0.005220;       0.007802;       0.002051;       0.123993;       0.199982;       0.319388;       0.446175;       0.100008;     878.050713;    1021.357709;    1108.162899;    1052.053719;     952.749740;       1.942337;    1008.378723;       4.972504;     318.830475
GDT_296_b_oc;GustavDalenTower;GiuseppeZibordi;    58.594;    17.467;20060807T130900Z;P10000000;M110100001110030101;     8.000;    48.672;       0.001871;       0.003166;       0.005150;       0.007920;       0.002002;       0.101867;       0.189682;       0.315108;       0.452916;       0.097616;     811.742556;     947.759286;    1031.885837;     980.567630;     891.570852;       2.106354;    1008.257263;       4.691222;     318.813232
GDT_297_b_oc;GustavDalenTower;GiuseppeZibordi;    58.594;    17.467;20060807T132952Z;P10000000;M110100001110030101;     8.000;    50.591;       0.001802;       0.003411;       0.005230;       0.007269;       0.001700;       0.098088;       0.204300;       0.320010;       0.415677;       0.082895;     770.936961;     902.413429;     984.846796;     936.473807;     853.807500;       1.594584;    1008.192322;       4.540853;     318.804047
GDT_298_b_oc;GustavDalenTower;GiuseppeZibordi;    58.594;    17.467;20060807T140310Z;P10000000;M110100001110030101;     8.000;    54.216;       0.001800;       0.002378;       0.004443;       0.006775;       0.001704;       0.098002;       0.142475;       0.271849;       0.387424;       0.083104;     691.157132;     813.616521;     892.621046;     849.998023;     779.675149;       2.069378;    1008.088684;       4.300888;     318.789337
GDT_299_b_oc;GustavDalenTower;GiuseppeZibordi;    58.594;    17.467;20060809T095814Z;P10000000;M110100001110030101;     8.000;    43.929;       0.004044;       0.004652;       0.006900;       0.008612;       0.002508;       0.220152;       0.278678;       0.422218;       0.492464;       0.122307;     908.140761;    1054.650397;    1142.583465;    1084.382127;     980.276780;       1.177291;    1006.770386;       3.539842;     317.626801
GDT_300_b_oc;GustavDalenTower;GiuseppeZibordi;    58.594;    17.467;20060809T112959Z;P10000000;M110100001110030101;     8.000;    43.070;       0.002904;       0.004159;       0.005988;       0.007810;       0.002045;       0.158063;       0.249126;       0.366425;       0.446629;       0.099702;     924.817834;    1073.125646;    1161.700509;    1102.290204;     995.581252;       1.330933;    1006.597656;       3.369377;     317.586334
GDT_301_b_oc;GustavDalenTower;GiuseppeZibordi;    58.594;    17.467;20060809T115815Z;P10000000;M110100001110030101;     8.000;    44.165;       0.002587;       0.003986;       0.005464;       0.007651;       0.001844;       0.140814;       0.238744;       0.334316;       0.437539;       0.089896;     903.587051;    1049.592244;    1137.335684;    1079.461282;     976.059399;       1.617695;    1006.544434;       3.316860;     317.573853
GDT_302_b_oc;GustavDalenTower;GiuseppeZibordi;    58.594;    17.467;20060809T122819Z;P10000000;M110100001110030101;     8.000;    45.926;       0.002581;       0.003325;       0.005315;       0.007936;       0.001814;       0.140507;       0.199185;       0.325214;       0.453835;       0.088456;     868.596797;    1010.787286;    1097.143798;    1041.798754;     943.843388;       1.946050;    1006.459534;       3.295917;     317.560577
GDT_303_b_oc;GustavDalenTower;GiuseppeZibordi;    58.594;    17.467;20060809T125816Z;P10000000;M110100001110030101;     8.000;    48.245;       0.002770;       0.003057;       0.005538;       0.007674;       0.002065;       0.150799;       0.183143;       0.338857;       0.438820;       0.100697;     821.024734;     957.986522;    1042.422636;     990.514436;     899.954606;       1.585971;    1006.373169;       3.277205;     317.547363
GDT_304_b_oc;GustavDalenTower;GiuseppeZibordi;    58.594;    17.467;20060809T132834Z;P10000000;M110100001110030101;     8.000;    51.030;       0.002658;       0.003446;       0.005480;       0.007508;       0.001967;       0.144673;       0.206434;       0.335319;       0.429315;       0.095928;     761.806199;     892.181262;     974.161679;     926.527232;     845.155538;       1.530074;    1006.285828;       3.258274;     317.533997
GDT_305_b_oc;GustavDalenTower;GiuseppeZibordi;    58.594;    17.467;20060809T135815Z;P10000000;M110100001110030101;     8.000;    54.188;       0.001266;       0.002899;       0.004884;       0.007317;       0.002018;       0.068933;       0.173684;       0.298824;       0.418400;       0.098409;     692.133004;     814.627296;     893.608170;     850.993866;     780.401379;       1.958157;    1006.200256;       3.239729;     317.520905
GDT_306_b_oc;GustavDalenTower;GiuseppeZibordi;    58.594;    17.467;20060809T142745Z;P10000000;M110100001110030101;     8.000;    57.514;       0.001015;       0.002584;       0.004827;       0.007439;       0.002251;       0.055255;       0.154798;       0.295325;       0.425419;       0.109737;     616.207310;     729.916188;     805.460520;     768.304140;     709.409485;       2.120390;    1006.115234;       3.221298;     317.507904
GDT_307_b_oc;GustavDalenTower;GiuseppeZibordi;    58.594;    17.467;20060810T095813Z;P10000000;M110100001110030101;     8.000;    44.206;       0.003086;       0.003978;       0.005582;       0.007132;       0.001761;       0.167979;       0.238288;       0.341536;       0.407856;       0.085889;     902.715468;    1048.641087;    1136.382122;    1078.654574;     975.339101;       1.258898;    1006.820740;       2.333600;     316.991516
GDT_308_b_oc;GustavDalenTower;GiuseppeZibordi;    58.594;    17.467;20060810T112816Z;P10000000;M110100001110030101;     8.000;    43.334;       0.002531;       0.003821;       0.005595;       0.007233;       0.001911;       0.137756;       0.228895;       0.342364;       0.413596;       0.093185;     919.661321;    1067.429828;    1155.841095;    1096.897136;     990.938313;       1.299452;    1006.940308;       2.462547;     316.951782
