pixel (FR) \ band	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
84	1715.45	1882.09	1929.32	1927.41	1801.85	1650.38	1531.43	1471.50	1407.08	1266.10	1250.10	1176.58	958.83	929.71	895.40
85	1715.45	1882.06	1929.31	1927.42	1801.86	1650.39	1531.43	1471.50	1407.09	1266.10	1250.10	1176.59	958.83	929.71	895.40
86	1715.44	1882.02	1929.29	1927.44	1801.88	1650.39	1531.44	1471.51	1407.10	1266.10	1250.10	1176.59	958.82	929.71	895.40
87	1715.44	1881.99	1929.28	1927.45	1801.89	1650.40	1531.44	1471.51	1407.11	1266.10	1250.10	1176.60	958.82	929.72	895.40
88	1715.43	1881.96	1929.27	1927.47	1801.90	1650.40	1531.44	1471.52	1407.12	1266.10	1250.11	1176.60	958.82	929.72	895.40
89	1715.42	1881.92	1929.26	1927.49	1801.91	1650.40	1531.44	1471.53	1407.12	1266.10	1250.11	1176.61	958.81	929.72	895.40
90	1715.42	1881.89	1929.24	1927.50	1801.92	1650.41	1531.45	1471.53	1407.13	1266.10	1250.11	1176.62	958.81	929.72	895.40
91	1715.41	1881.85	1929.23	1927.52	1801.93	1650.41	1531.45	1471.54	1407.14	1266.10	1250.11	1176.62	958.81	929.72	895.40
92	1715.40	1881.82	1929.22	1927.53	1801.95	1650.41	1531.45	1471.55	1407.15	1266.10	1250.12	1176.63	958.80	929.72	895.40
93	1715.40	1881.78	1929.21	1927.55	1801.96	1650.42	1531.45	1471.55	1407.16	1266.10	1250.12	1176.64	958.80	929.72	895.41
94	1715.39	1881.75	1929.19	1927.57	1801.97	1650.42	1531.45	1471.56	1407.16	1266.10	1250.12	1176.64	958.79	929.72	895.41
95	1715.39	1881.72	1929.18	1927.58	1801.98	1650.43	1531.46	1471.56	1407.17	1266.09	1250.12	1176.65	958.79	929.72	895.41
96	1715.38	1881.68	1929.17	1927.60	1801.99	1650.43	1531.46	1471.57	1407.18	1266.09	1250.13	1176.65	958.79	929.72	895.41
97	1715.37	1881.65	1929.16	1927.61	1802.01	1650.43	1531.46	1471.58	1407.19	1266.09	1250.13	1176.66	958.78	929.73	895.41
98	1715.37	1881.61	1929.14	1927.63	1802.02	1650.44	1531.46	1471.58	1407.20	1266.09	1250.13	1176.67	958.78	929.73	895.41
99	1715.36	1881.58	1929.13	1927.65	1802.03	1650.44	1531.46	1471.59	1407.20	1266.09	1250.13	1176.67	958.78	929.73	895.41
100	1715.35	1881.55	1929.12	1927.66	1802.04	1650.44	1531.47	1471.60	1407.21	1266.09	1250.13	1176.68	958.77	929.73	895.41
101	1715.35	1881.51	1929.11	1927.68	1802.05	1650.45	1531.47	1471.60	1407.22	1266.09	1250.14	1176.69	958.77	929.73	895.41
102	1715.34	1881.48	1929.10	1927.69	1802.07	1650.45	1531.47	1471.61	1407.23	1266.09	1250.14	1176.69	958.76	929.73	895.41
103	1715.33	1881.44	1929.08	1927.71	1802.08	1650.46	1531.47	1471.62	1407.24	1266.09	1250.14	1176.70	958.76	929.73	895.41
104	1715.33	1881.41	1929.07	1927.72	1802.09	1650.46	1531.47	1471.62	1407.25	1266.09	1250.14	1176.70	958.76	929.73	895.41
105	1715.32	1881.38	1929.06	1927.74	1802.10	1650.46	1531.48	1471.63	1407.25	1266.09	1250.15	1176.71	958.75	929.73	895.41
106	1715.31	1881.34	1929.05	1927.76	1802.11	1650.47	1531.48	1471.63	1407.26	1266.09	1250.15	1176.72	958.75	929.73	895.41
107	1715.31	1881.31	1929.04	1927.77	1802.12	1650.47	1531.48	1471.64	1407.27	1266.09	1250.15	1176.72	958.74	929.74	895.41
108	1715.30	1881.27	1929.02	1927.79	1802.14	1650.47	1531.48	1471.65	1407.28	1266.09	1250.15	1176.73	958.74	929.74	895.42
109	1715.30	1881.24	1929.01	1927.80	1802.15	1650.48	1531.48	1471.65	1407.29	1266.09	1250.16	1176.74	958.74	929.74	895.42
110	1715.29	1881.21	1929.00	1927.82	1802.16	1650.48	1531.49	1471.66	1407.29	1266.09	1250.16	1176.74	958.73	929.74	895.42
111	1715.28	1881.17	1928.99	1927.83	1802.17	1650.49	1531.49	1471.67	1407.30	1266.09	1250.16	1176.75	958.73	929.74	895.42
112	1715.28	1881.14	1928.98	1927.85	1802.18	1650.49	1531.49	1471.67	1407.31	1266.09	1250.16	1176.75	958.73	929.74	895.42
113	1715.27	1881.10	1928.97	1927.87	1802.20	1650.49	1531.49	1471.68	1407.32	1266.08	1250.17	1176.76	958.72	929.74	895.42
114	1715.26	1881.07	1928.95	1927.88	1802.21	1650.50	1531.49	1471.68	1407.33	1266.08	1250.17	1176.77	958.72	929.74	895.42
115	1715.26	1881.04	1928.94	1927.90	1802.22	1650.50	1531.50	1471.69	1407.33	1266.08	1250.17	1176.77	958.71	929.74	895.42
116	1715.25	1881.00	1928.93	1927.91	1802.23	1650.51	1531.50	1471.70	1407.34	1266.08	1250.17	1176.78	958.71	929.75	895.42
117	1715.24	1880.97	1928.92	1927.93	1802.24	1650.51	1531.50	1471.70	1407.35	1266.08	1250.18	1176.78	958.71	929.75	895.42
118	1715.24	1880.94	1928.91	1927.94	1802.25	1650.51	1531.50	1471.71	1407.36	1266.08	1250.18	1176.79	958.70	929.75	895.42
119	1715.23	1880.90	1928.90	1927.96	1802.27	1650.52	1531.50	1471.72	1407.37	1266.08	1250.18	1176.80	958.70	929.75	895.42
120	1715.22	1880.87	1928.88	1927.98	1802.28	1650.52	1531.51	1471.72	1407.37	1266.08	1250.18	1176.80	958.69	929.75	895.42
121	1715.22	1880.84	1928.87	1927.99	1802.29	1650.52	1531.51	1471.73	1407.38	1266.08	1250.19	1176.81	958.69	929.75	895.42
122	1715.21	1880.80	1928.86	1928.01	1802.30	1650.53	1531.51	1471.73	1407.39	1266.08	1250.19	1176.82	958.69	929.75	895.42
123	1715.20	1880.77	1928.85	1928.02	1802.31	1650.53	1531.51	1471.74	1407.40	1266.08	1250.19	1176.82	958.68	929.75	895.42
124	1715.20	1880.73	1928.84	1928.04	1802.33	1650.54	1531.51	1471.75	1407.41	1266.08	1250.19	1176.83	958.68	929.75	895.43
125	1715.19	1880.70	1928.83	1928.05	1802.34	1650.54	1531.52	1471.75	1407.41	1266.08	1250.20	1176.83	958.67	929.75	895.43
126	1715.18	1880.67	1928.81	1928.07	1802.35	1650.54	1531.52	1471.76	1407.42	1266.08	1250.20	1176.84	958.67	929.76	895.43
127	1715.18	1880.63	1928.80	1928.09	1802.36	1650.55	1531.52	1471.77	1407.43	1266.08	1250.20	1176.85	958.67	929.76	895.43
128	1715.17	1880.60	1928.79	1928.10	1802.37	1650.55	1531.52	1471.77	1407.44	1266.08	1250.20	1176.85	958.66	929.76	895.43
129	1715.16	1880.57	1928.78	1928.12	1802.38	1650.55	1531.52	1471.78	1407.45	1266.08	1250.21	1176.86	958.66	929.76	895.43
130	1715.16	1880.53	1928.77	1928.13	1802.40	1650.56	1531.53	1471.79	1407.45	1266.08	1250.21	1176.87	958.65	929.76	895.43
131	1715.15	1880.50	1928.76	1928.15	1802.41	1650.56	1531.53	1471.79	1407.46	1266.07	1250.21	1176.87	958.65	929.76	895.43
132	1715.14	1880.47	1928.75	1928.16	1802.42	1650.57	1531.53	1471.80	1407.47	1266.07	1250.21	1176.88	958.65	929.76	895.43
133	1715.14	1880.43	1928.74	1928.18	1802.43	1650.57	1531.53	1471.80	1407.48	1266.07	1250.22	1176.88	958.64	929.76	895.43
134	1715.13	1880.40	1928.72	1928.19	1802.44	1650.57	1531.53	1471.81	1407.49	1266.07	1250.22	1176.89	958.64	929.77	895.43
135	1715.12	1880.37	1928.71	1928.21	1802.46	1650.58	1531.54	1471.82	1407.49	1266.07	1250.22	1176.90	958.63	929.77	895.43
136	1715.12	1880.33	1928.70	1928.22	1802.47	1650.58	1531.54	1471.82	1407.50	1266.07	1250.22	1176.90	958.63	929.77	895.43
137	1715.11	1880.30	1928.69	1928.24	1802.48	1650.58	1531.54	1471.83	1407.51	1266.07	1250.23	1176.91	958.62	929.77	895.43
138	1715.10	1880.27	1928.68	1928.26	1802.49	1650.59	1531.54	1471.84	1407.52	1266.07	1250.23	1176.92	958.62	929.77	895.43
139	1715.10	1880.24	1928.67	1928.27	1802.50	1650.59	1531.54	1471.84	1407.53	1266.07	1250.23	1176.92	958.62	929.77	895.43
140	1715.09	1880.20	1928.66	1928.29	1802.51	1650.60	1531.54	1471.85	1407.53	1266.07	1250.23	1176.93	958.61	929.77	895.43
141	1715.08	1880.17	1928.65	1928.30	1802.53	1650.60	1531.55	1471.85	1407.54	1266.07	1250.24	1176.93	958.61	929.77	895.43
142	1715.08	1880.14	1928.64	1928.32	1802.54	1650.60	1531.55	1471.86	1407.55	1266.07	1250.24	1176.94	958.60	929.77	895.44
143	1715.07	1880.10	1928.63	1928.33	1802.55	1650.61	1531.55	1471.87	1407.56	1266.07	1250.24	1176.95	958.60	929.78	895.44
144	1715.06	1880.07	1928.61	1928.35	1802.56	1650.61	1531.55	1471.87	1407.57	1266.07	1250.24	1176.95	958.60	929.78	895.44
145	1715.06	1880.04	1928.60	1928.36	1802.57	1650.61	1531.55	1471.88	1407.57	1266.07	1250.25	1176.96	958.59	929.78	895.44
146	1715.05	1880.00	1928.59	1928.38	1802.59	1650.62	1531.56	1471.89	1407.58	1266.07	1250.25	1176.97	958.59	929.78	895.44
147	1715.04	1879.97	1928.58	1928.39	1802.60	1650.62	1531.56	1471.89	1407.59	1266.07	1250.25	1176.97	958.58	929.78	895.44
148	1715.04	1879.94	1928.57	1928.41	1802.61	1650.63	1531.56	1471.90	1407.60	1266.07	1250.25	1176.98	958.58	929.78	895.44
149	1715.03	1879.90	1928.56	1928.42	1802.62	1650.63	1531.56	1471.90	1407.61	1266.06	1250.26	1176.98	958.57	929.78	895.44
150	1715.02	1879.87	1928.55	1928.44	1802.63	1650.63	1531.56	1471.91	1407.61	1266.06	1250.26	1176.99	958.57	929.78	895.44
151	1715.02	1879.84	1928.54	1928.45	1802.64	1650.64	1531.57	1471.92	1407.62	1266.06	1250.26	1177.00	958.57	929.79	895.44
152	1715.01	1879.81	1928.53	1928.47	1802.66	1650.64	1531.57	1471.92	1407.63	1266.06	1250.27	1177.00	958.56	929.79	895.44
153	1715.00	1879.77	1928.52	1928.49	1802.67	1650.64	1531.57	1471.93	1407.64	1266.06	1250.27	1177.01	958.56	929.79	895.44
154	1714.99	1879.74	1928.51	1928.50	1802.68	1650.65	1531.57	1471.94	1407.64	1266.06	1250.27	1177.02	958.55	929.79	895.44
155	1714.99	1879.71	1928.50	1928.52	1802.69	1650.65	1531.57	1471.94	1407.65	1266.06	1250.27	1177.02	958.55	929.79	895.44
156	1714.98	1879.68	1928.49	1928.53	1802.70	1650.66	1531.57	1471.95	1407.66	1266.06	1250.28	1177.03	958.54	929.79	895.44
157	1714.97	1879.64	1928.48	1928.55	1802.72	1650.66	1531.58	1471.96	1407.67	1266.06	1250.28	1177.03	958.54	929.79	895.44
158	1714.97	1879.61	1928.47	1928.56	1802.73	1650.66	1531.58	1471.96	1407.68	1266.06	1250.28	1177.04	958.54	929.79	895.44
159	1714.96	1879.58	1928.46	1928.58	1802.74	1650.67	1531.58	1471.97	1407.68	1266.06	1250.28	1177.05	958.53	929.80	895.44
160	1714.95	1879.54	1928.45	1928.59	1802.75	1650.67	1531.58	1471.97	1407.69	1266.06	1250.29	1177.05	958.53	929.80	895.44
161	1714.95	1879.51	1928.43	1928.61	1802.76	1650.67	1531.58	1471.98	1407.70	1266.06	1250.29	1177.06	958.52	929.80	895.44
162	1714.94	1879.48	1928.42	1928.62	1802.77	1650.68	1531.59	1471.99	1407.71	1266.06	1250.29	1177.06	958.52	929.80	895.44
163	1714.93	1879.45	1928.41	1928.64	1802.79	1650.68	1531.59	1471.99	1407.72	1266.06	1250.29	1177.07	958.51	929.80	895.45
164	1714.93	1879.41	1928.40	1928.65	1802.80	1650.69	1531.59	1472.00	1407.72	1266.06	1250.30	1177.08	958.51	929.80	895.45
165	1714.92	1879.38	1928.39	1928.67	1802.81	1650.69	1531.59	1472.01	1407.73	1266.06	1250.30	1177.08	958.51	929.80	895.45
166	1714.91	1879.35	1928.38	1928.68	1802.82	1650.69	1531.59	1472.01	1407.74	1266.06	1250.30	1177.09	958.50	929.80	895.45
167	1714.90	1879.32	1928.37	1928.70	1802.83	1650.70	1531.59	1472.02	1407.75	1266.05	1250.31	1177.10	958.50	929.81	895.45
168	1714.90	1879.28	1928.36	1928.71	1802.85	1650.70	1531.60	1472.02	1407.76	1266.05	1250.31	1177.10	958.49	929.81	895.45
169	1714.89	1879.25	1928.35	1928.73	1802.86	1650.70	1531.60	1472.03	1407.76	1266.05	1250.31	1177.11	958.49	929.81	895.45
170	1714.88	1879.22	1928.34	1928.74	1802.87	1650.71	1531.60	1472.04	1407.77	1266.05	1250.31	1177.11	958.48	929.81	895.45
171	1714.88	1879.19	1928.33	1928.76	1802.88	1650.71	1531.60	1472.04	1407.78	1266.05	1250.32	1177.12	958.48	929.81	895.45
172	1714.87	1879.15	1928.32	1928.77	1802.89	1650.72	1531.60	1472.05	1407.79	1266.05	1250.32	1177.13	958.47	929.81	895.45
173	1714.86	1879.12	1928.31	1928.79	1802.90	1650.72	1531.61	1472.06	1407.80	1266.05	1250.32	1177.13	958.47	929.81	895.45
174	1714.86	1879.09	1928.30	1928.80	1802.92	1650.72	1531.61	1472.06	1407.80	1266.05	1250.32	1177.14	958.47	929.81	895.45
175	1714.85	1879.06	1928.29	1928.82	1802.93	1650.73	1531.61	1472.07	1407.81	1266.05	1250.33	1177.15	958.46	929.82	895.45
176	1714.84	1879.03	1928.28	1928.83	1802.94	1650.73	1531.61	1472.07	1407.82	1266.05	1250.33	1177.15	958.46	929.82	895.45
177	1714.83	1878.99	1928.27	1928.85	1802.95	1650.73	1531.61	1472.08	1407.83	1266.05	1250.33	1177.16	958.45	929.82	895.45
178	1714.83	1878.96	1928.26	1928.86	1802.96	1650.74	1531.61	1472.09	1407.84	1266.05	1250.33	1177.16	958.45	929.82	895.45
179	1714.82	1878.93	1928.25	1928.88	1802.97	1650.74	1531.62	1472.09	1407.84	1266.05	1250.34	1177.17	958.44	929.82	895.45
180	1714.81	1878.90	1928.24	1928.89	1802.99	1650.75	1531.62	1472.10	1407.85	1266.05	1250.34	1177.18	958.44	929.82	895.45
181	1714.81	1878.86	1928.23	1928.91	1803.00	1650.75	1531.62	1472.11	1407.86	1266.05	1250.34	1177.18	958.43	929.82	895.45
182	1714.80	1878.83	1928.22	1928.92	1803.01	1650.75	1531.62	1472.11	1407.87	1266.05	1250.35	1177.19	958.43	929.83	895.45
183	1714.79	1878.80	1928.21	1928.94	1803.02	1650.76	1531.62	1472.12	1407.88	1266.05	1250.35	1177.20	958.43	929.83	895.45
184	1714.78	1878.77	1928.20	1928.95	1803.03	1650.76	1531.62	1472.12	1407.88	1266.05	1250.35	1177.20	958.42	929.83	895.45
185	1714.78	1878.74	1928.19	1928.97	1803.05	1650.76	1531.63	1472.13	1407.89	1266.05	1250.35	1177.21	958.42	929.83	895.45
186	1714.77	1878.70	1928.19	1928.98	1803.06	1650.77	1531.63	1472.14	1407.90	1266.04	1250.36	1177.21	958.41	929.83	895.45
187	1714.76	1878.67	1928.18	1929.00	1803.07	1650.77	1531.63	1472.14	1407.91	1266.04	1250.36	1177.22	958.41	929.83	895.45
