MATCHUP_ID;Site;PI;Lat_IS;Lon_IS;TIME_IS;PQC;MQC;land_dist_IS;Theta_S;Rho_wn_IS_412;Rho_wn_IS_443;Rho_wn_IS_490;Rho_wn_IS_510;Rho_wn_IS_560;Rho_wn_IS_620;Rho_wn_IS_665;Rho_wn_IS_681;Rho_wn_IS_708;Rho_wn_IS_753;Lw_IS_412;Lw_IS_443;Lw_IS_490;Lw_IS_510;Lw_IS_560;Lw_IS_620;Lw_IS_665;Lw_IS_681;Lw_IS_708;Lw_IS_753;Es_IS_412;Es_IS_443;Es_IS_490;Es_IS_510;Es_IS_560;Es_IS_620;Es_IS_665;Es_IS_681;Es_IS_708;Es_IS_753
MOBY_655_b_oc;MOBY;KennethVoss;    20.822;  -157.208;20031108T224112Z;P10100100;M111110111101110100;    15.000;    37.825;       0.037133;       0.028053;       0.018634;       0.010220;       0.004051;       0.000333;       0.000121;       0.000111;       0.000021;            NaN;       1.302000;       1.099100;       0.789500;       0.435700;       0.166000;       0.012500;       0.004400;       0.004000;       0.000700;            NaN;     111.699997;     125.099998;     135.800003;     137.399994;     132.199997;     121.599998;     118.000000;     115.099998;     106.300003;      99.500000
MOBY_656_b_oc;MOBY;KennethVoss;    20.827;  -157.206;20031109T223534Z;P10100100;M111110111101110100;    14.000;    37.872;       0.040419;       0.030392;       0.019439;       0.010097;       0.003699;       0.000256;       0.000085;       0.000075;       0.000012;            NaN;       1.419200;       1.191200;       0.823600;       0.429600;       0.151500;       0.009600;       0.003100;       0.002700;       0.000400;            NaN;     112.099998;     125.500000;     136.300003;     137.699997;     132.699997;     121.900002;     118.099998;     115.199997;     105.800003;      99.599998
MOBY_657_b_oc;MOBY;KennethVoss;    20.821;  -157.209;20030714T000606Z;P10100100;M111110111101110100;    15.000;    21.286;       0.045190;       0.034037;       0.020994;       0.010856;       0.004132;       0.000401;       0.000144;       0.000120;       0.000024;            NaN;       1.881400;       1.565100;       1.035000;       0.537600;       0.195700;       0.017300;       0.006000;       0.004900;       0.000900;            NaN;     131.500000;     145.300003;     155.800003;     156.899994;     150.000000;     136.800003;     132.000000;     128.600006;     117.800003;     110.699997
MOBY_658_b_oc;MOBY;KennethVoss;    20.820;  -157.210;20030716T000607Z;P10100100;M111110111101110100;    15.000;    21.248;       0.037661;       0.029016;       0.019227;       0.010459;       0.004149;       0.000398;       0.000143;       0.000122;       0.000022;            NaN;       1.681000;       1.435100;       1.024500;       0.560000;       0.213300;       0.018700;       0.006500;       0.005400;       0.000900;            NaN;     140.899994;     156.199997;     168.300003;     169.500000;     162.699997;     148.699997;     143.600006;     140.000000;     127.199997;     120.699997
MOBY_659_b_oc;MOBY;KennethVoss;    20.811;  -157.202;20030717T000607Z;P10100100;M111110111101110100;    15.000;    21.243;       0.041196;       0.030804;       0.019786;       0.010514;       0.004086;       0.000382;       0.000134;       0.000112;       0.000019;            NaN;       1.723400;       1.424600;       0.981300;       0.524200;       0.194900;       0.016600;       0.005600;       0.004600;       0.000700;            NaN;     132.100006;     146.100006;     156.699997;     157.899994;     151.000000;     137.699997;     132.800003;     129.500000;     118.699997;     111.400002
MOBY_660_b_oc;MOBY;KennethVoss;    20.816;  -157.185;20030719T000618Z;P10100100;M111110111101110100;    14.000;    21.243;       0.039213;       0.029233;       0.017982;       0.009130;       0.003363;       0.000279;       0.000089;       0.000075;       0.000013;            NaN;       1.702100;       1.403400;       0.926900;       0.472900;       0.166500;       0.012600;       0.003900;       0.003200;       0.000500;            NaN;     137.100006;     151.699997;     162.899994;     164.100006;     156.800003;     143.199997;     138.100006;     134.600006;     123.900002;     116.000000
MOBY_661_b_oc;MOBY;KennethVoss;    20.811;  -157.198;20030720T000607Z;P10100100;M111110111101110100;    14.000;    21.229;       0.045002;       0.033404;       0.020421;       0.010502;       0.003929;       0.000361;       0.000126;       0.000107;       0.000018;            NaN;       1.932000;       1.585700;       1.039700;       0.537000;       0.192300;       0.016100;       0.005400;       0.004500;       0.000700;            NaN;     135.600006;     150.000000;     160.899994;     162.000000;     155.000000;     141.399994;     136.300003;     132.899994;     120.900002;     114.500000
MOBY_662_b_oc;MOBY;KennethVoss;    20.817;  -157.206;20030723T000609Z;P10100100;M111110111101110100;    15.000;    21.239;       0.037718;       0.029180;       0.019242;       0.010486;       0.004082;       0.000355;       0.000136;       0.000118;       0.000021;            NaN;       1.608100;       1.373800;       0.971000;       0.531900;       0.198000;       0.015700;       0.005800;       0.004900;       0.000800;            NaN;     134.600006;     148.699997;     159.399994;     160.600006;     153.500000;     139.899994;     134.699997;     131.399994;     120.400002;     113.000000
MOBY_663_b_oc;MOBY;KennethVoss;    20.814;  -157.190;20030729T000610Z;P10100100;M111110111101110100;    14.000;    21.422;       0.041243;       0.029962;       0.018327;       0.009276;       0.003404;       0.000302;       0.000104;       0.000090;       0.000016;            NaN;       1.778400;       1.427900;       0.936500;       0.475700;       0.167000;       0.013500;       0.004500;       0.003800;       0.000600;            NaN;     136.199997;     150.600006;     161.500000;     162.500000;     155.399994;     141.800003;     136.600006;     133.300003;     121.000000;     114.900002
MOBY_664_b_oc;MOBY;KennethVoss;    20.821;  -157.211;20030802T000611Z;P10100100;M111110111101110100;    15.000;    21.584;       0.041207;       0.031588;       0.019720;       0.010291;       0.003926;       0.000357;       0.000131;       0.000112;       0.000021;            NaN;       1.729900;       1.463300;       0.978300;       0.513100;       0.186900;       0.015500;       0.005500;       0.004600;       0.000800;            NaN;     132.600006;     146.399994;     156.800003;     158.000000;     150.800003;     137.600006;     132.699997;     129.399994;     118.900002;     111.300003
MOBY_665_b_oc;MOBY;KennethVoss;    20.817;  -157.200;20030805T000612Z;P10100100;M111110111101110100;    14.000;    21.812;       0.036493;       0.029320;       0.019885;       0.011098;       0.004484;       0.000427;       0.000138;       0.000119;       0.000019;            NaN;       1.532100;       1.359300;       0.988500;       0.554700;       0.214000;       0.018600;       0.005800;       0.004900;       0.000700;            NaN;     132.500000;     146.399994;     157.000000;     158.199997;     151.000000;     137.899994;     133.100006;     129.800003;     119.199997;     111.800003
MOBY_666_b_oc;MOBY;KennethVoss;    20.813;  -157.206;20030807T000612Z;P10100100;M111110111101110100;    15.000;    21.982;       0.040547;       0.031636;       0.020378;       0.010866;       0.004238;       0.000393;       0.000140;       0.000128;       0.000022;            NaN;       1.683300;       1.449700;       1.000700;       0.535700;       0.200200;       0.016900;       0.005800;       0.005200;       0.000800;            NaN;     131.100006;     144.800003;     155.199997;     156.199997;     149.600006;     136.399994;     131.300003;     128.000000;     116.000000;     110.199997
